DTM	RACMO_EH5_P
1991-04-15	37.7217964914581
1991-05-15	55.6504466130803
1991-06-15	104.335464079372
1991-07-15	70.5456815698985
1991-08-15	68.8711395212315
1991-09-15	18.2993778330221
1991-10-15	67.8261605735632
1991-11-15	50.6833124839494
1991-12-15	34.5607390046503
1992-01-15	13.223565951742
1992-02-15	38.162067408853
1992-03-15	11.5340960457693
1992-04-15	36.4935339633847
1992-05-15	102.436578620905
1992-06-15	57.5255938320101
1992-07-15	41.6807429075211
1992-08-15	27.5805904665981
1992-09-15	77.5898569905355
1992-10-15	64.7778649578045
1992-11-15	34.7602644009136
1992-12-15	13.1346150906272
1993-01-15	8.21890663513211
1993-02-15	65.982207396394
1993-03-15	17.3280586888406
1993-04-15	14.9250901733484
1993-05-15	33.9191820449284
1993-06-15	84.66988539059
1993-07-15	22.616355889403
1993-08-15	87.1296801980685
1993-09-15	15.0854111764246
1993-10-15	24.8887724024759
1993-11-15	65.2025863011158
1993-12-15	12.7098973044462
1994-01-15	14.4371324719488
1994-02-15	62.4239995229456
1994-03-15	18.9723597308373
1994-04-15	20.672749226649
1994-05-15	68.9798178142323
1994-06-15	97.4381586804493
1994-07-15	25.8195686735135
1994-08-15	41.1853131954412
1994-09-15	15.4041420557259
1994-10-15	14.4036843935569
1994-11-15	38.6476613756453
1994-12-15	11.3601094533489
1995-01-15	24.5229886415097
1995-02-15	8.73291170203587
1995-03-15	13.9871484544951
1995-04-15	45.6924572755607
1995-05-15	43.4539025399798
1995-06-15	97.0649679188633
1995-07-15	71.1406813486184
1995-08-15	70.360435444849
1995-09-15	40.4376150978747
1995-10-15	5.52557088926876
1995-11-15	116.856508602627
1995-12-15	29.4981193492843
1996-01-15	29.4721760775071
1996-02-15	37.9877312802236
1996-03-15	3.2408818593255
1996-04-15	59.2414287962975
1996-05-15	44.2793971799313
1996-06-15	35.946187632026
1996-07-15	35.0824331945365
1996-08-15	56.0507954477406
1996-09-15	52.5742727666466
1996-10-15	69.5903171120357
1996-11-15	25.7221519261071
1996-12-15	26.5640012109307
1997-01-15	5.84812927608627
1997-02-15	46.7319885602099
1997-03-15	8.58257619227675
1997-04-15	9.2962557098838
1997-05-15	55.7571204060402
1997-06-15	74.2938201167366
1997-07-15	44.5858186707183
1997-08-15	45.4444164388095
1997-09-15	22.2201078261002
1997-10-15	51.7219683519825
1997-11-15	30.6882795504297
1997-12-15	20.8270418815795
1998-01-15	20.4394750389472
1998-02-15	74.3123363705775
1998-03-15	32.055977074737
1998-04-15	8.17030310793266
1998-05-15	97.859681028514
1998-06-15	51.9283435131773
1998-07-15	67.531182468068
1998-08-15	91.3798926871433
1998-09-15	33.4289730493799
1998-10-15	38.0820225962166
1998-11-15	12.6220557615965
1998-12-15	7.84944427372867
1999-01-15	62.3809538916593
1999-02-15	21.1476154080792
1999-03-15	25.2610208426427
1999-04-15	47.2625607160932
1999-05-15	67.8421527881358
1999-06-15	87.3609258446616
1999-07-15	93.3571380552322
1999-08-15	24.9189406930529
1999-09-15	68.6890948978079
1999-10-15	23.5026373649712
1999-11-15	32.5440894611282
1999-12-15	9.47702981895196
2000-01-15	8.6027901761829
2000-02-15	47.5814847506414
2000-03-15	24.9157975322082
2000-04-15	30.3565261845428
2000-05-15	56.1537249381558
2000-06-15	42.0030647769899
2000-07-15	42.5074393150396
2000-08-15	61.8037093861214
2000-09-15	12.3668061298476
2000-10-15	25.895715292478
2000-11-15	36.8171209471749
2000-12-15	67.2775414843663
2001-01-15	28.0350087081697
2001-02-15	13.6691675123874
2001-03-15	23.7934688632921
2001-04-15	59.4686272520605
2001-05-15	106.719793269055
2001-06-15	36.4429353258388
2001-07-15	53.2131890292994
2001-08-15	75.5910045890524
2001-09-15	12.8871153364716
2001-10-15	12.4813640127654
